评论人数,商品链接,价格,商店链接,商店名称,标题
10万+,//item.jd.com/100047126811.html,2499.00,//mall.jd.com/index-1000004065.html?from=pc,OPPO京东自营官方旗舰店,OPPO Reno9 8GB+256GB 微醺 6400万水光人像镜头 120Hz OLED超清曲面屏 4500mAh大电池 7.19mm轻薄 5G
2万+,//item.jd.com/10067430999787.html,599.00,//mall.jd.com/index-12332077.html?from=pc,魅紫旗舰店,新款14promax灵动岛大屏智能
5万+,//item.jd.com/100039740906.html,2259.00,//mall.jd.com/index-1000000904.html?from=pc,荣耀京东自营旗舰店,荣耀70 Pro IMX800三主摄 旗舰芯片 100W超级快充 5G
10万+,//item.jd.com/100048172465.html,4399.00,//mall.jd.com/index-1000310642.html?from=pc,iQOO京东自营官方旗舰店,vivo iQOO 11 12GB+256GB 赛道版 第二代骁龙8 2K 144Hz E6全感屏 120W闪充 自研芯片V2 5G电竞
5万+,//item.jd.com/100053251673.html,2049.00,//mall.jd.com/index-1000001947.html?from=pc,一加手机京东自营官方旗舰店,OPPO 一加 Ace 2V 12GB+256GB 青釉 天玑 9000 移动平台 1.5K 灵犀触控直屏 6400 万超清三摄 5G游戏性能
100万+,//item.jd.com/100021830456.html,889.00,//mall.jd.com/index-1000000904.html?from=pc,荣耀京东自营旗舰店,荣耀Play5T 22.5W超级快充 5000mAh大电池 6.5英寸护眼屏 全网通8GB+128GB钛空银
200万+,//item.jd.com/100038004353.html,5399.00,//mall.jd.com/index-1000000127.html?from=pc,Apple产品京东自营旗舰店,Apple iPhone 14 (A2884) 128GB 星光色 支持移动联通电信5G 双卡双待
2万+,//item.jd.com/100045503730.html,1799.00,//mall.jd.com/index-1000310642.html?from=pc,iQOO京东自营官方旗舰店,vivo iQOO Z7 8GB+256GB 原子蓝 120W超快闪充 等效5000mAh强续航 6400万像素 OIS光学防抖 5G
2万+,//item.jd.com/100054698559.html,3199.00,//mall.jd.com/index-1000001952.html?from=pc,魅族京东自营旗舰店,魅族 20 12GB+256GB 先锋灰 第二代骁龙8旗舰芯片 144Hz电竞直屏 支持67W快充 超薄机身设计 5G
10万+,//item.jd.com/100040195622.html,4399.00,//mall.jd.com/index-1000001947.html?from=pc,一加手机京东自营官方旗舰店,OPPO 一加 11 16GB+256GB 一瞬青 第二代骁龙 8 哈苏影像拍照 2K + 120Hz 高刷屏 游戏电竞5G旗舰
100万+,//item.jd.com/100038004359.html,9899.00,//mall.jd.com/index-1000000127.html?from=pc,Apple产品京东自营旗舰店,Apple iPhone 14 Pro Max (A2896) 256GB 暗紫色 支持移动联通电信5G 双卡双待
2万+,//item.jd.com/100054574041.html,6999.00,//mall.jd.com/index-1000004065.html?from=pc,OPPO京东自营官方旗舰店,OPPO Find X6 Pro 16GB+512GB 大漠银月 超光影三主摄 哈苏影像 100W闪充 第二代骁龙8旗舰芯片 5G拍照
5万+,//item.jd.com/100054651297.html,4888.00,//mall.jd.com/index-1000004259.html?from=pc,华为京东自营官方旗舰店,华为/HUAWEI P60 超聚光XMAGE影像 双向北斗卫星消息 256GB 羽砂黑 鸿蒙曲面屏 智能旗舰
20万+,//item.jd.com/100056261353.html,3339.00,//mall.jd.com/index-1000001947.html?from=pc,一加手机京东自营官方旗舰店,OPPO 一加 Ace 2 原神定制礼盒 18GB+512GB 熔岩红 满血版 18GB 豪华内存 满血版骁龙8+旗舰平台 5G游戏
20万+,//item.jd.com/100037381004.html,859.00,//mall.jd.com/index-1000004065.html?from=pc,OPPO京东自营官方旗舰店,OPPO A55s 8GB+128GB 律动黑 双模5G 超大存储 5000mAh超大电池 长续航 后置AI三摄 超清画质 拍照
10万+,//item.jd.com/100047301988.html,2199.00,//mall.jd.com/index-1000004123.html?from=pc,小米京东自营旗舰店,Redmi Note 12 Turbo 5G 第二代骁龙7+ 超细四窄边OLED直屏 6400万像素 12GB+512GB碳纤黑 智能
2万+,//item.jd.com/100056919535.html,1399.00,//mall.jd.com/index-1000000904.html?from=pc,荣耀京东自营旗舰店,荣耀X50i 一亿像素超清影像 轻羽灵感设计 6.7英寸超窄边护眼全视屏 5G
